Year,Runs Per Game,League Average
1882,6.11,5.33
1883,6.76,5.75
1884,6.73,5.42
1885,5.73,5.22
1886,6.26,5.47
1887,6.56,6.34
1888,5.44,4.87
1889,6.36,5.96
1890,5.62,6.02
1891,4.68,5.7
1892,4.94,5.1
1893,5.79,6.57
1894,6.99,7.38
1895,6.84,6.58
1896,6.12,6.04
1897,5.69,5.88
1898,5.29,4.96
1899,5.48,5.24
1900,4.88,5.21
1901,3.95,4.99
1902,4.49,4.43
1903,5.43,4.44
1904,4.43,3.72
1905,4.75,3.89
1906,3.44,3.61
1907,3.37,3.52
1908,3.15,3.38
1909,3.86,3.54
1910,3.97,3.83
1911,4.29,4.51
1912,4.23,4.53
1913,3.89,4.04
1914,3.38,3.86
1915,3.23,3.81
1916,3.26,3.56
1917,3.83,3.59
1918,4.11,3.63
1919,4.12,3.88
1920,4.15,4.36
1921,4.04,4.85
1922,4.91,4.87
1923,4.6,4.81
1924,4.24,4.76
1925,4.51,5.13
1926,4.76,4.64
1927,4.2,4.75
1928,4.24,4.73
1929,4.43,5.19
1930,4.32,5.55
1931,3.84,4.81
1932,3.71,4.91
1933,3.24,4.48
1934,3.88,4.91
1935,4.19,4.9
1936,4.69,5.19
1937,3.95,4.87
1938,4.79,4.89
1939,4.92,4.82
1940,4.56,4.68
1941,4,4.49
1942,3.42,4.08
1943,3.92,3.91
1944,3.7,4.17
1945,3.48,4.18
1946,3.35,4.01
1947,4.42,4.36
1948,3.84,4.58
1949,4.02,4.61
1950,4.27,4.85
1951,3.61,4.55
1952,3.99,4.18
1953,4.61,4.61
1954,4.73,4.38
1955,4.94,4.48
1956,5,4.45
1957,4.85,4.31
1958,4.51,4.28
1959,4.96,4.38
1960,4.16,4.31
1961,4.61,4.53
1962,4.95,4.46
1963,4,3.95
1964,4.05,4.04
1965,5.09,3.99
1966,4.33,3.99
1967,3.73,3.77
1968,4.23,3.42
1969,4.9,4.07
1970,4.78,4.34
1971,3.62,3.89
1972,4.59,3.69
1973,4.57,4.21
1974,4.76,4.12
1975,5.19,4.21
1976,5.29,3.99
1977,4.95,4.47
1978,4.41,4.1
1979,4.54,4.46
1980,4.34,4.29
1981,4.3,4
1982,3.36,4.3
1983,3.85,4.31
1984,3.87,4.26
1985,4.18,4.33
1986,4.52,4.41
1987,4.83,4.72
1988,3.98,4.14
1989,3.9,4.13
1990,4.28,4.26
1991,4.25,4.31
1992,4.07,4.12
1993,4.46,4.6
1994,5.3,4.92
1995,5.19,4.85
1996,4.8,5.04
1997,4.02,4.77
1998,4.63,4.79
1999,5.31,5.08
2000,5.06,5.14
2001,4.54,4.78
2002,4.38,4.62
2003,4.28,4.73
2004,4.63,4.81
2005,5.03,4.59
2006,4.62,4.86
2007,4.83,4.8
2008,4.35,4.65
2009,4.15,4.61
2010,4.88,4.38
2011,4.54,4.28
2012,4.13,4.32
2013,4.31,4.17
2014,3.67,4.07
2015,3.95,4.25
2016,4.42,4.48
2017,4.65,4.65
2018,4.3,4.45
2019,4.47,4.85